FrameID,Label,video_names,img_path
15300.jpg,r_spike,18,/kaggle/input/volleyball/volleyball_/videos/18/15300/15300.jpg
68040.jpg,r-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/68040/68040.jpg
67945.jpg,r_set,18,/kaggle/input/volleyball/volleyball_/videos/18/67945/67945.jpg
69935.jpg,r-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/69935/69935.jpg
69100.jpg,r_spike,18,/kaggle/input/volleyball/volleyball_/videos/18/69100/69100.jpg
16095.jpg,l-spike,18,/kaggle/input/volleyball/volleyball_/videos/18/16095/16095.jpg
69670.jpg,l-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/69670/69670.jpg
16055.jpg,l_set,18,/kaggle/input/volleyball/volleyball_/videos/18/16055/16055.jpg
15920.jpg,r-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/15920/15920.jpg
80075.jpg,r_spike,18,/kaggle/input/volleyball/volleyball_/videos/18/80075/80075.jpg
69920.jpg,l-spike,18,/kaggle/input/volleyball/volleyball_/videos/18/69920/69920.jpg
67825.jpg,l-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/67825/67825.jpg
30615.jpg,r_set,18,/kaggle/input/volleyball/volleyball_/videos/18/30615/30615.jpg
15230.jpg,r-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/15230/15230.jpg
83540.jpg,l_set,18,/kaggle/input/volleyball/volleyball_/videos/18/83540/83540.jpg
49290.jpg,l_set,18,/kaggle/input/volleyball/volleyball_/videos/18/49290/49290.jpg
68720.jpg,r-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/68720/68720.jpg
30650.jpg,l-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/30650/30650.jpg
49330.jpg,l-spike,18,/kaggle/input/volleyball/volleyball_/videos/18/49330/49330.jpg
49255.jpg,l_set,18,/kaggle/input/volleyball/volleyball_/videos/18/49255/49255.jpg
16005.jpg,l-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/16005/16005.jpg
69815.jpg,r_spike,18,/kaggle/input/volleyball/volleyball_/videos/18/69815/69815.jpg
80085.jpg,r-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/80085/80085.jpg
68910.jpg,l_set,18,/kaggle/input/volleyball/volleyball_/videos/18/68910/68910.jpg
15365.jpg,l_set,18,/kaggle/input/volleyball/volleyball_/videos/18/15365/15365.jpg
69805.jpg,r_set,18,/kaggle/input/volleyball/volleyball_/videos/18/69805/69805.jpg
74285.jpg,l_set,18,/kaggle/input/volleyball/volleyball_/videos/18/74285/74285.jpg
30815.jpg,r_set,18,/kaggle/input/volleyball/volleyball_/videos/18/30815/30815.jpg
68850.jpg,l-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/68850/68850.jpg
79990.jpg,r_set,18,/kaggle/input/volleyball/volleyball_/videos/18/79990/79990.jpg
79965.jpg,l-spike,18,/kaggle/input/volleyball/volleyball_/videos/18/79965/79965.jpg
70080.jpg,l_set,18,/kaggle/input/volleyball/volleyball_/videos/18/70080/70080.jpg
79970.jpg,l-spike,18,/kaggle/input/volleyball/volleyball_/videos/18/79970/79970.jpg
67980.jpg,l-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/67980/67980.jpg
79925.jpg,l_set,18,/kaggle/input/volleyball/volleyball_/videos/18/79925/79925.jpg
69060.jpg,l-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/69060/69060.jpg
15960.jpg,r_set,18,/kaggle/input/volleyball/volleyball_/videos/18/15960/15960.jpg
15210.jpg,r_spike,18,/kaggle/input/volleyball/volleyball_/videos/18/15210/15210.jpg
68895.jpg,l-spike,18,/kaggle/input/volleyball/volleyball_/videos/18/68895/68895.jpg
15270.jpg,r_set,18,/kaggle/input/volleyball/volleyball_/videos/18/15270/15270.jpg
74370.jpg,r-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/74370/74370.jpg
79800.jpg,r-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/79800/79800.jpg
49225.jpg,r_spike,18,/kaggle/input/volleyball/volleyball_/videos/18/49225/49225.jpg
67910.jpg,r-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/67910/67910.jpg
79885.jpg,l_set,18,/kaggle/input/volleyball/volleyball_/videos/18/79885/79885.jpg
49185.jpg,r-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/49185/49185.jpg
15175.jpg,r_set,18,/kaggle/input/volleyball/volleyball_/videos/18/15175/15175.jpg
68075.jpg,r_set,18,/kaggle/input/volleyball/volleyball_/videos/18/68075/68075.jpg
69740.jpg,l-spike,18,/kaggle/input/volleyball/volleyball_/videos/18/69740/69740.jpg
30640.jpg,r_spike,18,/kaggle/input/volleyball/volleyball_/videos/18/30640/30640.jpg
67760.jpg,r-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/67760/67760.jpg
79845.jpg,r_set,18,/kaggle/input/volleyball/volleyball_/videos/18/79845/79845.jpg
67850.jpg,l-pass,18,/kaggle/input/volleyball/volleyball_/videos/18/67850/67850.jpg
68995.jpg,l-spike,18,/kaggle/input/volleyball/volleyball_/videos/18/68995/68995.jpg
